Date,Followers,New_Followers,Content_Type,Reach,Likes,Engagement_Rate,Comments,Shares
2024-05-01,24500,45,Photo,1200,85,0.083,10,5
2024-05-02,24555,55,Video,1800,120,0.078,15,5
2024-05-03,24610,65,Carousel,2200,150,0.077,15,5
2024-05-04,24680,70,Reel,4500,380,0.091,20,10
2024-05-05,24740,60,Photo,1300,95,0.085,8,7
2024-05-06,24795,55,Video,1900,130,0.079,15,5
2024-05-07,24850,55,Reel,4200,350,0.089,15,9
2024-05-08,24915,65,Carousel,2400,160,0.075,12,8
2024-05-09,24970,55,Photo,1250,90,0.080,5,5
2024-05-10,25035,65,Reel,4800,410,0.092,25,6
2024-05-11,25100,65,Video,2000,140,0.078,10,6
2024-05-12,25175,75,Carousel,2500,180,0.080,12,8
2024-05-13,25240,65,Photo,1350,100,0.081,6,3
2024-05-14,25300,60,Reel,5100,450,0.094,25,4
2024-05-15,25370,70,Video,2100,150,0.079,12,4
2024-05-16,25430,60,Carousel,2600,190,0.081,10,3
2024-05-17,25500,70,Photo,1400,110,0.086,8,2
2024-05-18,25580,80,Reel,5300,480,0.096,30,0
2024-05-19,25650,70,Video,2200,165,0.082,10,5
2024-05-20,25715,65,Carousel,2700,200,0.081,12,7
2024-05-21,25775,60,Photo,1450,115,0.086,8,2
2024-05-22,25840,65,Reel,5500,500,0.096,25,3
2024-05-23,25910,70,Video,2300,175,0.083,12,4
2024-05-24,25985,75,Carousel,2800,210,0.082,15,5
2024-05-25,26050,65,Photo,1500,120,0.087,8,2
2024-05-26,26120,70,Reel,5800,550,0.100,30,0
2024-05-27,26195,75,Video,2400,185,0.083,10,4
2024-05-28,26260,65,Carousel,2900,220,0.083,12,8
2024-05-29,26325,65,Photo,1550,125,0.087,8,2
2024-05-30,26400,75,Reel,6000,580,0.103,40,0
