Date,Channel,Campaign,Content_Type,Impressions,Reach,Clicks,Engagements,Conversions,Spend,Revenue
2024-01-01,Instagram,Winter_Sale,Reel,45000,32000,850,2100,28,350,1680
2024-01-01,Facebook,Winter_Sale,Image,32000,28000,620,890,18,280,1080
2024-01-01,TikTok,Winter_Sale,Video,68000,52000,1200,4800,42,420,2520
2024-01-01,Email,Winter_Sale,Newsletter,15000,15000,750,950,55,0,3300
2024-01-01,Google_Ads,Winter_Sale,Search,25000,22000,450,450,35,480,2100
2024-01-02,Instagram,Winter_Sale,Carousel,38000,29000,720,1850,25,350,1500
2024-01-02,Facebook,Winter_Sale,Video,41000,35000,780,1100,24,300,1440
2024-01-02,TikTok,Winter_Sale,Video,71000,55000,1350,5200,48,420,2880
2024-01-02,Email,Winter_Sale,Newsletter,15000,15000,720,910,52,0,3120
2024-01-02,Google_Ads,Winter_Sale,Display,35000,30000,280,280,15,220,900
2024-01-03,Instagram,Winter_Sale,Story,28000,24000,420,1200,15,200,900
2024-01-03,Facebook,Winter_Sale,Carousel,35000,30000,680,980,22,280,1320
2024-01-03,TikTok,Winter_Sale,Video,65000,50000,1150,4600,40,420,2400
2024-01-03,Email,Winter_Sale,Promotional,14000,14000,840,980,62,0,3720
2024-01-03,Google_Ads,Winter_Sale,Search,28000,24000,520,520,38,520,2280
2024-01-04,Instagram,Winter_Sale,Reel,52000,38000,950,2400,32,350,1920
2024-01-04,Facebook,Winter_Sale,Image,29000,26000,550,810,16,280,960
2024-01-04,TikTok,Winter_Sale,Video,72000,56000,1280,5400,45,420,2700
2024-01-04,Email,Winter_Sale,Newsletter,15000,15000,735,920,54,0,3240
2024-01-04,Google_Ads,Winter_Sale,Shopping,42000,38000,880,880,68,650,4080
2024-01-05,Instagram,Winter_Sale,Carousel,42000,32000,800,2000,28,350,1680
2024-01-05,Facebook,Winter_Sale,Video,38000,32000,720,1020,21,300,1260
2024-01-05,TikTok,Winter_Sale,Video,69000,53000,1220,4900,44,420,2640
2024-01-05,Email,Winter_Sale,Newsletter,15000,15000,765,945,56,0,3360
2024-01-05,Google_Ads,Winter_Sale,Search,26000,23000,480,480,34,490,2040
2024-01-06,Instagram,Winter_Sale,Story,32000,27000,480,1400,18,200,1080
2024-01-06,Facebook,Winter_Sale,Image,31000,28000,580,850,17,280,1020
2024-01-06,TikTok,Winter_Sale,Video,66000,51000,1180,4700,41,420,2460
2024-01-06,Email,Winter_Sale,Weekend_Special,16000,16000,960,1120,72,0,4320
2024-01-06,Google_Ads,Winter_Sale,Display,38000,32000,310,310,18,240,1080
2024-01-07,Instagram,Winter_Sale,Reel,48000,36000,900,2250,30,350,1800
2024-01-07,Facebook,Winter_Sale,Carousel,36000,31000,650,950,20,280,1200
2024-01-07,TikTok,Winter_Sale,Video,70000,54000,1240,5100,43,420,2580
2024-01-07,Email,Winter_Sale,Newsletter,15000,15000,745,935,55,0,3300
2024-01-07,Google_Ads,Winter_Sale,Search,27000,24000,500,500,36,510,2160
2024-01-08,Instagram,Spring_Preview,Reel,55000,40000,1100,2800,38,400,2280
2024-01-08,Facebook,Spring_Preview,Video,44000,37000,820,1180,26,320,1560
2024-01-08,TikTok,Spring_Preview,Video,78000,60000,1420,5800,52,450,3120
2024-01-08,Email,Spring_Preview,Newsletter,16000,16000,800,1000,58,0,3480
2024-01-08,Google_Ads,Spring_Preview,Search,30000,26000,540,540,40,540,2400
2024-01-09,Instagram,Spring_Preview,Carousel,46000,35000,880,2200,32,400,1920
2024-01-09,Facebook,Spring_Preview,Image,34000,30000,640,920,20,300,1200
2024-01-09,TikTok,Spring_Preview,Video,75000,58000,1380,5600,50,450,3000
2024-01-09,Email,Spring_Preview,Newsletter,16000,16000,780,980,57,0,3420
2024-01-09,Google_Ads,Spring_Preview,Shopping,48000,43000,960,960,74,700,4440
2024-01-10,Instagram,Spring_Preview,Story,35000,29000,520,1550,22,220,1320
2024-01-10,Facebook,Spring_Preview,Carousel,39000,33000,710,1020,24,300,1440
2024-01-10,TikTok,Spring_Preview,Video,73000,57000,1340,5400,48,450,2880
2024-01-10,Email,Spring_Preview,Promotional,17000,17000,1020,1190,75,0,4500
2024-01-10,Google_Ads,Spring_Preview,Display,40000,34000,340,340,20,260,1200
2024-01-11,Instagram,Spring_Preview,Reel,58000,42000,1150,2900,40,400,2400
2024-01-11,Facebook,Spring_Preview,Video,42000,36000,800,1140,25,320,1500
2024-01-11,TikTok,Spring_Preview,Video,76000,59000,1400,5700,51,450,3060
2024-01-11,Email,Spring_Preview,Newsletter,16000,16000,790,990,58,0,3480
2024-01-11,Google_Ads,Spring_Preview,Search,29000,25000,530,530,39,530,2340
2024-01-12,Instagram,Spring_Preview,Carousel,48000,37000,920,2300,34,400,2040
2024-01-12,Facebook,Spring_Preview,Image,36000,32000,670,960,21,300,1260
2024-01-12,TikTok,Spring_Preview,Video,74000,58000,1360,5500,49,450,2940
2024-01-12,Email,Spring_Preview,Newsletter,16000,16000,810,1010,59,0,3540
2024-01-12,Google_Ads,Spring_Preview,Search,28000,24000,510,510,37,520,2220
2024-01-13,Instagram,Spring_Preview,Story,37000,31000,550,1600,24,220,1440
2024-01-13,Facebook,Spring_Preview,Carousel,40000,34000,720,1040,25,300,1500
2024-01-13,TikTok,Spring_Preview,Video,72000,56000,1320,5300,47,450,2820
2024-01-13,Email,Spring_Preview,Weekend_Special,18000,18000,1080,1260,80,0,4800
2024-01-13,Google_Ads,Spring_Preview,Display,42000,36000,360,360,22,280,1320
2024-01-14,Instagram,Spring_Preview,Reel,56000,41000,1120,2850,39,400,2340
2024-01-14,Facebook,Spring_Preview,Video,43000,37000,810,1160,26,320,1560
2024-01-14,TikTok,Spring_Preview,Video,77000,60000,1410,5750,52,450,3120
2024-01-14,Email,Spring_Preview,Newsletter,16000,16000,800,1000,58,0,3480
2024-01-14,Google_Ads,Spring_Preview,Search,30000,26000,540,540,40,540,2400
2024-01-15,Instagram,Influencer_Collab,Reel,95000,72000,1800,4800,68,800,4080
2024-01-15,Facebook,Influencer_Collab,Video,62000,54000,1150,1680,38,500,2280
2024-01-15,TikTok,Influencer_Collab,Video,142000,110000,2600,10400,98,750,5880
2024-01-15,Email,Influencer_Collab,Newsletter,17000,17000,880,1100,64,0,3840
2024-01-15,Google_Ads,Regular,Search,28000,24000,510,510,37,520,2220
2024-01-16,Instagram,Influencer_Collab,Story,68000,56000,1020,3200,45,400,2700
2024-01-16,Facebook,Influencer_Collab,Image,48000,42000,880,1280,28,420,1680
2024-01-16,TikTok,Influencer_Collab,Video,138000,107000,2540,10200,95,750,5700
2024-01-16,Email,Influencer_Collab,Promotional,18000,18000,1080,1260,78,0,4680
2024-01-16,Google_Ads,Regular,Display,38000,32000,310,310,18,240,1080
2024-01-17,Instagram,Influencer_Collab,Carousel,72000,58000,1380,3600,52,800,3120
2024-01-17,Facebook,Influencer_Collab,Video,58000,50000,1100,1600,35,500,2100
2024-01-17,TikTok,Influencer_Collab,Video,140000,109000,2580,10300,96,750,5760
2024-01-17,Email,Influencer_Collab,Newsletter,17000,17000,900,1120,66,0,3960
2024-01-17,Google_Ads,Regular,Search,29000,25000,530,530,39,530,2340
2024-01-18,Instagram,Influencer_Collab,Reel,98000,75000,1850,4900,70,800,4200
2024-01-18,Facebook,Influencer_Collab,Carousel,54000,47000,1020,1500,33,480,1980
2024-01-18,TikTok,Influencer_Collab,Video,145000,112000,2650,10600,100,750,6000
2024-01-18,Email,Influencer_Collab,Newsletter,17000,17000,890,1110,65,0,3900
2024-01-18,Google_Ads,Regular,Shopping,45000,40000,900,900,70,680,4200
2024-01-19,Instagram,Influencer_Collab,Story,70000,58000,1040,3300,47,400,2820
2024-01-19,Facebook,Influencer_Collab,Image,50000,44000,920,1340,30,420,1800
2024-01-19,TikTok,Influencer_Collab,Video,141000,109000,2600,10400,97,750,5820
2024-01-19,Email,Influencer_Collab,Newsletter,17000,17000,910,1130,67,0,4020
2024-01-19,Google_Ads,Regular,Search,27000,23000,490,490,36,500,2160
2024-01-20,Instagram,Influencer_Collab,Carousel,74000,60000,1420,3700,54,800,3240
2024-01-20,Facebook,Influencer_Collab,Video,60000,52000,1130,1650,36,500,2160
2024-01-20,TikTok,Influencer_Collab,Video,143000,111000,2620,10500,98,750,5880
2024-01-20,Email,Influencer_Collab,Weekend_Special,19000,19000,1140,1330,85,0,5100
2024-01-20,Google_Ads,Regular,Display,40000,34000,340,340,20,260,1200
2024-01-21,Instagram,Influencer_Collab,Reel,96000,73000,1820,4850,69,800,4140
2024-01-21,Facebook,Influencer_Collab,Video,61000,53000,1140,1670,37,500,2220
2024-01-21,TikTok,Influencer_Collab,Video,144000,111000,2640,10550,99,750,5940
2024-01-21,Email,Influencer_Collab,Newsletter,17000,17000,895,1115,65,0,3900
2024-01-21,Google_Ads,Regular,Search,28000,24000,510,510,37,520,2220
2024-01-22,Instagram,Valentine_Launch,Reel,62000,46000,1240,3100,45,450,2700
2024-01-22,Facebook,Valentine_Launch,Video,48000,41000,900,1300,29,350,1740
2024-01-22,TikTok,Valentine_Launch,Video,85000,66000,1540,6200,58,500,3480
2024-01-22,Email,Valentine_Launch,Newsletter,18000,18000,930,1160,68,0,4080
2024-01-22,Google_Ads,Valentine_Launch,Search,32000,28000,580,580,43,570,2580
2024-01-23,Instagram,Valentine_Launch,Carousel,52000,40000,1000,2500,36,450,2160
2024-01-23,Facebook,Valentine_Launch,Image,38000,34000,720,1040,24,330,1440
2024-01-23,TikTok,Valentine_Launch,Video,82000,64000,1500,6100,57,500,3420
2024-01-23,Email,Valentine_Launch,Newsletter,18000,18000,910,1140,67,0,4020
2024-01-23,Google_Ads,Valentine_Launch,Shopping,52000,47000,1040,1040,81,750,4860
2024-01-24,Instagram,Valentine_Launch,Story,40000,33000,600,1800,27,240,1620
2024-01-24,Facebook,Valentine_Launch,Carousel,43000,37000,780,1140,27,330,1620
2024-01-24,TikTok,Valentine_Launch,Video,80000,62000,1480,5900,55,500,3300
2024-01-24,Email,Valentine_Launch,Promotional,19000,19000,1140,1330,84,0,5040
2024-01-24,Google_Ads,Valentine_Launch,Display,44000,37000,380,380,23,290,1380
2024-01-25,Instagram,Valentine_Launch,Reel,64000,48000,1280,3200,46,450,2760
2024-01-25,Facebook,Valentine_Launch,Video,50000,43000,930,1350,30,350,1800
2024-01-25,TikTok,Valentine_Launch,Video,84000,65000,1530,6150,58,500,3480
2024-01-25,Email,Valentine_Launch,Newsletter,18000,18000,920,1150,68,0,4080
2024-01-25,Google_Ads,Valentine_Launch,Search,31000,27000,570,570,42,560,2520
2024-01-26,Instagram,Valentine_Launch,Carousel,54000,42000,1040,2600,38,450,2280
2024-01-26,Facebook,Valentine_Launch,Image,40000,36000,750,1080,25,330,1500
2024-01-26,TikTok,Valentine_Launch,Video,83000,64000,1520,6100,57,500,3420
2024-01-26,Email,Valentine_Launch,Newsletter,18000,18000,930,1160,68,0,4080
2024-01-26,Google_Ads,Valentine_Launch,Search,30000,26000,550,550,40,540,2400
2024-01-27,Instagram,Valentine_Launch,Story,42000,35000,620,1850,28,240,1680
2024-01-27,Facebook,Valentine_Launch,Carousel,44000,38000,800,1160,28,330,1680
2024-01-27,TikTok,Valentine_Launch,Video,81000,63000,1490,6000,56,500,3360
2024-01-27,Email,Valentine_Launch,Weekend_Special,20000,20000,1200,1400,90,0,5400
2024-01-27,Google_Ads,Valentine_Launch,Display,43000,37000,370,370,22,285,1320
2024-01-28,Instagram,Valentine_Launch,Reel,63000,47000,1260,3150,45,450,2700
2024-01-28,Facebook,Valentine_Launch,Video,49000,42000,920,1330,30,350,1800
2024-01-28,TikTok,Valentine_Launch,Video,84000,65000,1530,6150,58,500,3480
2024-01-28,Email,Valentine_Launch,Newsletter,18000,18000,925,1155,68,0,4080
2024-01-28,Google_Ads,Valentine_Launch,Search,32000,28000,580,580,43,570,2580
