Brand,Platform,Followers,Avg_Likes,Avg_Comments,Avg_Shares,Posts_Per_Week,Content_Type_Video_Pct,Response_Time_Hours,Brand_Voice,Price_Point,Market_Position
FitGear,Instagram,87000,3200,145,82,5,45,12,Professional,Premium,Challenger
FitGear,Facebook,62000,1850,95,48,4,30,18,Professional,Premium,Challenger
FitGear,TikTok,124000,8200,420,650,7,95,24,Professional,Premium,Challenger
FitGear,LinkedIn,15000,380,28,12,2,20,48,Professional,Premium,Challenger
ActiveWear,Instagram,156000,4800,210,125,7,65,8,Energetic,Mid-Range,Leader
ActiveWear,Facebook,118000,3200,165,88,5,45,12,Energetic,Mid-Range,Leader
ActiveWear,TikTok,285000,15400,820,1250,10,98,6,Energetic,Mid-Range,Leader
ActiveWear,LinkedIn,28000,520,38,18,3,35,24,Energetic,Mid-Range,Leader
SportStyle,Instagram,142000,5100,195,108,6,55,10,Aspirational,Premium,Strong
SportStyle,Facebook,95000,2800,138,72,4,38,14,Aspirational,Premium,Strong
SportStyle,TikTok,218000,12200,680,980,8,92,8,Aspirational,Premium,Strong
SportStyle,LinkedIn,22000,450,32,15,2,28,36,Aspirational,Premium,Strong
FlexFit,Instagram,68000,2400,98,55,4,35,16,Friendly,Budget,Niche
FlexFit,Facebook,52000,1650,82,42,3,25,20,Friendly,Budget,Niche
FlexFit,TikTok,95000,6200,320,480,6,88,15,Friendly,Budget,Niche
FlexFit,LinkedIn,8000,210,15,6,1,15,72,Friendly,Budget,Niche
YourBrand,Instagram,51000,2100,115,68,5,40,14,Authentic,Mid-Range,Emerging
YourBrand,Facebook,38000,1420,72,38,4,32,16,Authentic,Mid-Range,Emerging
YourBrand,TikTok,82000,5800,310,520,5,85,12,Authentic,Mid-Range,Emerging
YourBrand,LinkedIn,12000,280,22,10,2,18,42,Authentic,Mid-Range,Emerging
